label,atom1,atom2,nbr,gap
cscl_Ag_Br,Ag,Br,8,1.361583
cscl_Ag_Cl,Ag,Cl,8,2.068887
cscl_Ag_F,Ag,F,8,16.9915
cscl_Ag_I,Ag,I,8,6.310273
cscl_Al_As,Al,As,8,3.815183
cscl_Al_N,Al,N,8,2.364249
cscl_Al_P,Al,P,8,1.781274
cscl_Al_Sb,Al,Sb,8,3.655922
cscl_Au_Br,Au,Br,8,10.121461
cscl_Au_Cl,Au,Cl,8,10.947073
cscl_Au_F,Au,F,8,16.033688
cscl_Au_I,Au,I,8,7.962622
cscl_B_As,B,As,8,6.077644
cscl_B_N,B,N,8,3.788639
cscl_B_P,B,P,8,3.355199
cscl_B_Sb,B,Sb,8,5.759546
cscl_Ba_O,Ba,O,8,1.722239
cscl_Ba_S,Ba,S,8,1.587504
cscl_Ba_Se,Ba,Se,8,1.426375
cscl_Ba_Te,Ba,Te,8,1.15874
cscl_Be_O,Be,O,8,4.730767
cscl_Be_S,Be,S,8,3.053132
cscl_Be_Se,Be,Se,8,2.094537
cscl_Be_Te,Be,Te,8,1.831665
cscl_Ca_O,Ca,O,8,3.057026
cscl_Ca_S,Ca,S,8,2.1841
cscl_Ca_Se,Ca,Se,8,1.956012
cscl_Ca_Te,Ca,Te,8,1.657962
cscl_Cd_O,Cd,O,8,14.970828
cscl_Cd_S,Cd,S,8,7.721637
cscl_Cd_Se,Cd,Se,8,7.208098
cscl_Cd_Te,Cd,Te,8,5.858184
cscl_Cs_Br,Cs,Br,8,3.706223
cscl_Cs_Cl,Cs,Cl,8,4.50439
cscl_Cs_F,Cs,F,8,5.149052
cscl_Cs_I,Cs,I,8,3.761095
cscl_Cu_Br,Cu,Br,8,7.661156
cscl_Cu_Cl,Cu,Cl,8,8.085072
cscl_Cu_F,Cu,F,8,15.375322
cscl_Cu_I,Cu,I,8,5.839599
cscl_Ga_As,Ga,As,8,5.410461
cscl_Ga_N,Ga,N,8,11.142469
cscl_Ga_P,Ga,P,8,5.182373
cscl_Ga_Sb,Ga,Sb,8,4.61952
cscl_Hg_O,Hg,O,8,15.853249
cscl_Hg_S,Hg,S,8,8.68965
cscl_Hg_Se,Hg,Se,8,8.057935
cscl_Hg_Te,Hg,Te,8,6.521562
cscl_In_As,In,As,8,5.620825
cscl_In_N,In,N,8,11.061888
cscl_In_P,In,P,8,5.585005
cscl_In_Sb,In,Sb,8,4.713394
cscl_K_Br,K,Br,8,3.063296
cscl_K_Cl,K,Cl,8,3.979985
cscl_K_F,K,F,8,4.217156
cscl_K_I,K,I,8,3.568836
cscl_Li_Br,Li,Br,8,3.864372
cscl_Li_Cl,Li,Cl,8,5.16153
cscl_Li_F,Li,F,8,7.687528
cscl_Li_I,Li,I,8,3.137319
cscl_Mg_O,Mg,O,8,3.199709
cscl_Mg_S,Mg,S,8,2.126282
cscl_Mg_Se,Mg,Se,8,4.320494
cscl_Mg_Te,Mg,Te,8,3.424256
cscl_Na_Br,Na,Br,8,3.166668
cscl_Na_Cl,Na,Cl,8,4.373883
cscl_Na_F,Na,F,8,4.615133
cscl_Na_I,Na,I,8,2.864108
cscl_Rb_Br,Rb,Br,8,2.993554
cscl_Rb_Cl,Rb,Cl,8,3.759803
cscl_Rb_F,Rb,F,8,4.036273
cscl_Rb_I,Rb,I,8,3.552502
cscl_Sr_O,Sr,O,8,2.821528
cscl_Sr_S,Sr,S,8,2.212208
cscl_Sr_Se,Sr,Se,8,1.997772
cscl_Sr_Te,Sr,Te,8,1.632642
cscl_Tl_As,Tl,As,8,6.222947
cscl_Tl_N,Tl,N,8,12.112124
cscl_Tl_P,Tl,P,8,6.280855
cscl_Tl_Sb,Tl,Sb,8,5.152004
cscl_Zn_O,Zn,O,8,14.975714
cscl_Zn_S,Zn,S,8,6.811126
cscl_Zn_Se,Zn,Se,8,6.912391
cscl_Zn_Te,Zn,Te,8,5.562495
